G文件,环网柜序号,矩形框XML ID,环网柜名称,环网柜类型,类型识别来源,图内文字类型,devref类型,类型交叉校验,柜型校验状态,柜型交叉校验说明,是否智能,智能标识,状态,说明,数据库记录数,数据库是否唯一,环网柜ID,G图设备数,数据库唯一匹配设备数,环网柜设备是否完整,已正确关联设备数,未关联设备数,关联错误设备数,RMU可关联,RMU级关联阻断原因,设备级阻断原因,G图元匹配问题,数据库匹配问题
JED-NTH-ABH.sln.pic.g,124,2000762,29799,3L1T,TEXT_YQ,3L1T,3L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625925,9,9,YES,9,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,125,2000503,33410,3L1T,TEXT_YQ,3L1T,3L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625961,9,9,YES,9,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,126,2000791,33421,3L1T,TEXT_YQ,3L1T,3L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625965,9,9,YES,9,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,127,2000145,39503,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578447,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,128,2000508,30332,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578439,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,129,2000239,33434,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578513,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,130,2000218,22333,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578239,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,131,2000531,39967,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578246,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,132,2000143,30814,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMR,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625929,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,133,2000422,16781,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,"SMART, SMR",PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625893,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,134,2000172,27163,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578224,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,135,2000177,24898,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578384,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,136,2002461,29863,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578350,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,137,2000754,27545,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578453,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,138,2000174,30424,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,"SMART, SMR",PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625927,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,139,2000519,30827,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578293,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,140,2000857,33343,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625949,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,141,2000481,30857,3L1T,TEXT_YQ,3L1T,3L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578303,9,9,YES,9,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,142,2000705,30843,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMR,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625935,7,7,YES,7,0,0,YES,,,,
